"start","end","consumption prediction"
"2023-12-11T17:00:00.000Z","2023-12-11T17:15:00.000Z","12123.8"
"2023-12-11T18:00:00.000Z","2023-12-11T18:15:00.000Z","12027.2"
"2023-12-11T19:00:00.000Z","2023-12-11T19:15:00.000Z","11873.3"
"2023-12-11T20:00:00.000Z","2023-12-11T20:15:00.000Z","11757"
"2023-12-11T21:00:00.000Z","2023-12-11T21:15:00.000Z","11613.6"
"2023-12-11T22:00:00.000Z","2023-12-11T22:15:00.000Z","11561.5"
"2023-12-11T23:00:00.000Z","2023-12-11T23:15:00.000Z","11243.2"
"2023-12-12T00:00:00.000Z","2023-12-12T00:15:00.000Z","11060.4"
"2023-12-12T01:00:00.000Z","2023-12-12T01:15:00.000Z","10895.8"
"2023-12-12T02:00:00.000Z","2023-12-12T02:15:00.000Z","10859.9"
"2023-12-12T03:00:00.000Z","2023-12-12T03:15:00.000Z","10920.9"
"2023-12-12T04:00:00.000Z","2023-12-12T04:15:00.000Z","11236.4"
"2023-12-12T05:00:00.000Z","2023-12-12T05:15:00.000Z","11785.1"
"2023-12-12T06:00:00.000Z","2023-12-12T06:15:00.000Z","12107.9"
"2023-12-12T07:00:00.000Z","2023-12-12T07:15:00.000Z","12287.4"
"2023-12-12T08:00:00.000Z","2023-12-12T08:15:00.000Z","12262.7"
"2023-12-12T09:00:00.000Z","2023-12-12T09:15:00.000Z","12237.5"
"2023-12-12T10:00:00.000Z","2023-12-12T10:15:00.000Z","12202.7"
"2023-12-12T11:00:00.000Z","2023-12-12T11:15:00.000Z","12278"
"2023-12-12T12:00:00.000Z","2023-12-12T12:15:00.000Z","12279"
"2023-12-12T13:00:00.000Z","2023-12-12T13:15:00.000Z","12321.8"
"2023-12-12T14:00:00.000Z","2023-12-12T14:15:00.000Z","12411"
"2023-12-12T15:00:00.000Z","2023-12-12T15:15:00.000Z","12459.8"
"2023-12-12T16:00:00.000Z","2023-12-12T16:15:00.000Z","12410.7"
"2023-12-12T17:00:00.000Z","2023-12-12T17:15:00.000Z","12399.6"
"2023-12-12T18:00:00.000Z","2023-12-12T18:15:00.000Z","12376.3"
"2023-12-12T19:00:00.000Z","2023-12-12T19:15:00.000Z","12214"
"2023-12-12T20:00:00.000Z","2023-12-12T20:15:00.000Z","11984.6"
"2023-12-12T21:00:00.000Z","2023-12-12T21:15:00.000Z","11775.5"
"2023-12-12T22:00:00.000Z","2023-12-12T22:15:00.000Z","11715.1"
"2023-12-12T23:00:00.000Z","2023-12-12T23:15:00.000Z","11405.6"
"2023-12-13T00:00:00.000Z","2023-12-13T00:15:00.000Z","11138.1"
"2023-12-13T01:00:00.000Z","2023-12-13T01:15:00.000Z","11006.5"
"2023-12-13T02:00:00.000Z","2023-12-13T02:15:00.000Z","10919"
"2023-12-13T03:00:00.000Z","2023-12-13T03:15:00.000Z","11003.7"
"2023-12-13T04:00:00.000Z","2023-12-13T04:15:00.000Z","11363.5"
"2023-12-13T05:00:00.000Z","2023-12-13T05:15:00.000Z","11847.4"
"2023-12-13T06:00:00.000Z","2023-12-13T06:15:00.000Z","12233.9"
